True,Layer 0,Layer 1,Layer 2,Layer 3,Layer 4,Layer 5,Layer 6,Layer 7,Layer 8,Layer 9,Layer 10,Layer 11
miniskirt vs sunscreen,t=3.75 p=3.00e-04 q=1.10e-03 d=0.18,t=-4.03 p=1.00e-04 q=4.00e-04 d=0.21,,,t=2.98 p=3.50e-03 q=1.02e-02 d=0.33,,,t=-6.47 p=0.00e+00 q=0.00e+00 d=0.58,t=-6.52 p=0.00e+00 q=0.00e+00 d=0.74,t=3.90 p=2.00e-04 q=7.00e-04 d=0.33,t=4.57 p=0.00e+00 q=1.00e-04 d=0.68,t=9.47 p=0.00e+00 q=0.00e+00 d=1.14
miniskirt vs wig,,,t=-2.36 p=1.98e-02 q=4.52e-02 d=0.18,,t=4.91 p=0.00e+00 q=0.00e+00 d=0.50,,,t=-11.45 p=0.00e+00 q=0.00e+00 d=1.11,t=-3.52 p=6.00e-04 q=2.20e-03 d=0.34,t=4.67 p=0.00e+00 q=0.00e+00 d=0.54,,t=8.90 p=0.00e+00 q=0.00e+00 d=0.74
miniskirt vs lipstick,,t=-5.38 p=0.00e+00 q=0.00e+00 d=0.68,t=2.54 p=1.22e-02 q=2.99e-02 d=0.33,t=-6.94 p=0.00e+00 q=0.00e+00 d=0.80,t=4.72 p=0.00e+00 q=0.00e+00 d=0.69,,,t=-5.40 p=0.00e+00 q=0.00e+00 d=0.61,t=-3.42 p=9.00e-04 q=3.00e-03 d=0.40,,t=6.94 p=0.00e+00 q=0.00e+00 d=1.07,t=3.20 p=1.80e-03 q=5.70e-03 d=0.31
miniskirt vs bra,,t=-3.01 p=3.10e-03 q=9.30e-03 d=0.12,,,,,t=-2.31 p=2.23e-02 q=5.00e-02 d=0.16,t=-4.42 p=0.00e+00 q=1.00e-04 d=0.26,,,t=4.81 p=0.00e+00 q=0.00e+00 d=0.82,t=5.02 p=0.00e+00 q=0.00e+00 d=0.40
miniskirt vs windsor,,t=-2.59 p=1.08e-02 q=2.69e-02 d=0.15,,,t=3.18 p=1.90e-03 q=6.00e-03 d=0.41,,t=-3.43 p=8.00e-04 q=2.90e-03 d=0.35,t=-12.82 p=0.00e+00 q=0.00e+00 d=1.33,t=-7.03 p=0.00e+00 q=0.00e+00 d=0.83,t=3.41 p=9.00e-04 q=3.10e-03 d=0.47,,t=9.08 p=0.00e+00 q=0.00e+00 d=1.20
miniskirt vs desk,t=-2.82 p=5.50e-03 q=1.52e-02 d=0.11,t=-2.55 p=1.21e-02 q=2.96e-02 d=0.16,t=3.76 p=3.00e-04 q=1.00e-03 d=0.35,,t=3.42 p=9.00e-04 q=3.00e-03 d=0.21,,,t=-8.61 p=0.00e+00 q=0.00e+00 d=0.76,t=-8.26 p=0.00e+00 q=0.00e+00 d=0.86,,t=6.96 p=0.00e+00 q=0.00e+00 d=0.69,
miniskirt vs library,,,t=3.02 p=3.10e-03 q=9.10e-03 d=0.25,,t=3.69 p=3.00e-04 q=1.30e-03 d=0.31,,,t=-12.54 p=0.00e+00 q=0.00e+00 d=1.01,t=-4.55 p=0.00e+00 q=1.00e-04 d=0.49,t=3.27 p=1.40e-03 q=4.60e-03 d=0.27,t=8.34 p=0.00e+00 q=0.00e+00 d=1.01,t=4.77 p=0.00e+00 q=0.00e+00 d=0.67
academicgown vs pajamas,t=-3.06 p=2.70e-03 q=8.20e-03 d=0.17,,,t=-3.38 p=1.00e-03 q=3.30e-03 d=0.29,,,t=5.45 p=0.00e+00 q=0.00e+00 d=0.35,t=10.59 p=0.00e+00 q=0.00e+00 d=0.88,t=3.94 p=1.00e-04 q=6.00e-04 d=0.37,,t=5.08 p=0.00e+00 q=0.00e+00 d=0.30,t=-3.42 p=9.00e-04 q=3.00e-03 d=0.38
academicgown vs oscilloscope,t=-3.16 p=2.00e-03 q=6.20e-03 d=0.36,t=-3.86 p=2.00e-04 q=8.00e-04 d=0.53,t=2.98 p=3.50e-03 q=1.03e-02 d=0.37,t=-8.47 p=0.00e+00 q=0.00e+00 d=1.11,t=3.64 p=4.00e-04 q=1.50e-03 d=0.45,t=2.79 p=6.10e-03 q=1.66e-02 d=0.31,t=4.27 p=0.00e+00 q=2.00e-04 d=0.49,t=-2.96 p=3.70e-03 q=1.07e-02 d=0.34,,,t=5.30 p=0.00e+00 q=0.00e+00 d=0.69,t=-3.36 p=1.00e-03 q=3.50e-03 d=0.45
academicgown vs suit,,,,,,,,t=-3.05 p=2.80e-03 q=8.40e-03 d=0.14,,t=8.44 p=0.00e+00 q=0.00e+00 d=0.80,t=9.27 p=0.00e+00 q=0.00e+00 d=0.91,t=-9.98 p=0.00e+00 q=0.00e+00 d=0.87
academicgown vs notePC,,,t=2.83 p=5.40e-03 q=1.50e-02 d=0.25,t=-2.85 p=5.10e-03 q=1.42e-02 d=0.22,,,t=3.72 p=3.00e-04 q=1.20e-03 d=0.27,t=6.67 p=0.00e+00 q=0.00e+00 d=0.48,,t=3.71 p=3.00e-04 q=1.20e-03 d=0.40,t=3.19 p=1.80e-03 q=5.80e-03 d=0.27,t=-7.09 p=0.00e+00 q=0.00e+00 d=0.69
academicgown vs sunscreen,t=2.79 p=6.20e-03 q=1.67e-02 d=0.13,,,t=-4.07 p=1.00e-04 q=4.00e-04 d=0.24,,t=2.94 p=3.90e-03 q=1.12e-02 d=0.23,t=3.10 p=2.40e-03 q=7.30e-03 d=0.38,t=6.74 p=0.00e+00 q=0.00e+00 d=0.71,,,t=7.29 p=0.00e+00 q=0.00e+00 d=0.77,
academicgown vs wig,,,,t=-4.09 p=1.00e-04 q=4.00e-04 d=0.25,t=3.77 p=3.00e-04 q=1.00e-03 d=0.34,t=3.31 p=1.20e-03 q=4.10e-03 d=0.25,t=4.67 p=0.00e+00 q=0.00e+00 d=0.35,t=3.46 p=8.00e-04 q=2.70e-03 d=0.37,t=5.09 p=0.00e+00 q=0.00e+00 d=0.50,t=4.32 p=0.00e+00 q=2.00e-04 d=0.44,,t=-5.42 p=0.00e+00 q=0.00e+00 d=0.61
academicgown vs lipstick,,t=-4.67 p=0.00e+00 q=0.00e+00 d=0.62,,t=-8.92 p=0.00e+00 q=0.00e+00 d=0.97,t=4.14 p=1.00e-04 q=3.00e-04 d=0.56,t=2.67 p=8.50e-03 q=2.21e-02 d=0.32,t=4.09 p=1.00e-04 q=4.00e-04 d=0.43,t=6.61 p=0.00e+00 q=0.00e+00 d=0.78,t=3.66 p=4.00e-04 q=1.40e-03 d=0.37,,t=15.72 p=0.00e+00 q=0.00e+00 d=1.47,t=-14.12 p=0.00e+00 q=0.00e+00 d=1.66
academicgown vs bra,t=-2.65 p=9.00e-03 q=2.32e-02 d=0.05,,,,,,t=2.87 p=4.80e-03 q=1.36e-02 d=0.26,t=12.00 p=0.00e+00 q=0.00e+00 d=1.06,t=6.53 p=0.00e+00 q=0.00e+00 d=0.72,t=-5.94 p=0.00e+00 q=0.00e+00 d=0.66,t=8.89 p=0.00e+00 q=0.00e+00 d=0.92,t=-7.10 p=0.00e+00 q=0.00e+00 d=0.79
academicgown vs windsor,t=-2.36 p=2.01e-02 q=4.57e-02 d=0.03,t=-2.64 p=9.30e-03 q=2.38e-02 d=0.07,,t=-2.57 p=1.13e-02 q=2.80e-02 d=0.07,t=3.15 p=2.00e-03 q=6.40e-03 d=0.29,,,,t=-5.31 p=0.00e+00 q=0.00e+00 d=0.21,t=2.44 p=1.62e-02 q=3.81e-02 d=0.27,,
academicgown vs desk,t=-2.99 p=3.30e-03 q=9.80e-03 d=0.16,,t=3.62 p=4.00e-04 q=1.60e-03 d=0.33,t=-2.35 p=2.02e-02 q=4.61e-02 d=0.21,,,t=6.05 p=0.00e+00 q=0.00e+00 d=0.42,t=6.81 p=0.00e+00 q=0.00e+00 d=0.49,,,t=6.46 p=0.00e+00 q=0.00e+00 d=0.82,t=-12.90 p=0.00e+00 q=0.00e+00 d=1.58
academicgown vs library,,,t=3.10 p=2.40e-03 q=7.30e-03 d=0.22,,t=2.45 p=1.59e-02 q=3.73e-02 d=0.17,t=2.67 p=8.60e-03 q=2.23e-02 d=0.14,t=6.37 p=0.00e+00 q=0.00e+00 d=0.41,t=3.98 p=1.00e-04 q=5.00e-04 d=0.29,t=3.74 p=3.00e-04 q=1.10e-03 d=0.32,,t=9.78 p=0.00e+00 q=0.00e+00 d=1.16,t=-6.48 p=0.00e+00 q=0.00e+00 d=0.70
pajamas vs oscilloscope,,t=-2.75 p=6.80e-03 q=1.82e-02 d=0.38,t=3.42 p=8.00e-04 q=2.90e-03 d=0.46,t=-5.25 p=0.00e+00 q=0.00e+00 d=0.75,t=4.72 p=0.00e+00 q=0.00e+00 d=0.59,,,t=-9.33 p=0.00e+00 q=0.00e+00 d=1.12,t=-4.54 p=0.00e+00 q=1.00e-04 d=0.51,,t=2.73 p=7.30e-03 q=1.94e-02 d=0.41,
pajamas vs suit,t=2.56 p=1.17e-02 q=2.87e-02 d=0.14,t=3.46 p=7.00e-04 q=2.60e-03 d=0.18,,t=3.45 p=8.00e-04 q=2.70e-03 d=0.30,,t=-3.26 p=1.40e-03 q=4.70e-03 d=0.22,t=-4.72 p=0.00e+00 q=0.00e+00 d=0.41,t=-12.40 p=0.00e+00 q=0.00e+00 d=0.99,t=-3.71 p=3.00e-04 q=1.20e-03 d=0.38,t=4.20 p=0.00e+00 q=2.00e-04 d=0.48,t=7.61 p=0.00e+00 q=0.00e+00 d=0.66,
pajamas vs notePC,,,t=4.26 p=0.00e+00 q=2.00e-04 d=0.33,,t=2.81 p=5.80e-03 q=1.58e-02 d=0.18,,,t=-8.92 p=0.00e+00 q=0.00e+00 d=0.42,t=-3.78 p=2.00e-04 q=1.00e-03 d=0.34,t=4.33 p=0.00e+00 q=2.00e-04 d=0.37,,
pajamas vs sunscreen,t=5.31 p=0.00e+00 q=0.00e+00 d=0.31,,t=3.17 p=1.90e-03 q=6.00e-03 d=0.25,,t=2.88 p=4.60e-03 q=1.31e-02 d=0.32,,,t=-2.40 p=1.77e-02 q=4.11e-02 d=0.19,,,t=5.31 p=0.00e+00 q=0.00e+00 d=0.51,t=2.46 p=1.52e-02 q=3.61e-02 d=0.34
pajamas vs wig,,,,,t=5.56 p=0.00e+00 q=0.00e+00 d=0.49,,,t=-6.06 p=0.00e+00 q=0.00e+00 d=0.62,,t=2.51 p=1.33e-02 q=3.22e-02 d=0.30,,
pajamas vs lipstick,,t=-3.51 p=6.00e-04 q=2.30e-03 d=0.45,t=2.96 p=3.60e-03 q=1.06e-02 d=0.39,t=-5.28 p=0.00e+00 q=0.00e+00 d=0.56,t=4.89 p=0.00e+00 q=0.00e+00 d=0.69,,,,,,t=11.03 p=0.00e+00 q=0.00e+00 d=1.17,t=-9.82 p=0.00e+00 q=0.00e+00 d=0.80
pajamas vs bra,t=2.39 p=1.83e-02 q=4.24e-02 d=0.12,,,t=3.11 p=2.30e-03 q=7.20e-03 d=0.25,,,,t=2.34 p=2.07e-02 q=4.69e-02 d=0.12,t=4.34 p=0.00e+00 q=1.00e-04 d=0.41,,t=7.62 p=0.00e+00 q=0.00e+00 d=0.70,t=-9.43 p=0.00e+00 q=0.00e+00 d=0.39
pajamas vs windsor,t=2.50 p=1.38e-02 q=3.32e-02 d=0.14,,,t=2.59 p=1.07e-02 q=2.66e-02 d=0.22,t=3.45 p=8.00e-04 q=2.70e-03 d=0.40,,t=-3.22 p=1.70e-03 q=5.40e-03 d=0.29,t=-9.73 p=0.00e+00 q=0.00e+00 d=0.85,t=-5.48 p=0.00e+00 q=0.00e+00 d=0.55,,t=-3.79 p=2.00e-04 q=9.00e-04 d=0.33,t=3.78 p=2.00e-04 q=1.00e-03 d=0.42
pajamas vs desk,,,t=4.49 p=0.00e+00 q=1.00e-04 d=0.42,,t=3.40 p=9.00e-04 q=3.10e-03 d=0.20,,,t=-5.68 p=0.00e+00 q=0.00e+00 d=0.37,t=-4.42 p=0.00e+00 q=1.00e-04 d=0.40,,t=3.59 p=5.00e-04 q=1.80e-03 d=0.53,t=-4.96 p=0.00e+00 q=0.00e+00 d=0.84
pajamas vs library,t=3.91 p=2.00e-04 q=6.00e-04 d=0.22,t=2.45 p=1.55e-02 q=3.67e-02 d=0.15,t=3.27 p=1.40e-03 q=4.50e-03 d=0.30,t=2.66 p=8.80e-03 q=2.26e-02 d=0.24,t=3.54 p=6.00e-04 q=2.10e-03 d=0.30,,,t=-7.50 p=0.00e+00 q=0.00e+00 d=0.59,,,t=7.63 p=0.00e+00 q=0.00e+00 d=0.96,
oscilloscope vs suit,t=2.91 p=4.20e-03 q=1.21e-02 d=0.33,t=4.11 p=1.00e-04 q=3.00e-04 d=0.55,t=-3.70 p=3.00e-04 q=1.30e-03 d=0.44,t=8.63 p=0.00e+00 q=0.00e+00 d=1.12,t=-3.91 p=2.00e-04 q=6.00e-04 d=0.47,t=-3.42 p=9.00e-04 q=3.00e-03 d=0.36,t=-5.26 p=0.00e+00 q=0.00e+00 d=0.55,,,t=7.70 p=0.00e+00 q=0.00e+00 d=0.79,,t=-4.09 p=1.00e-04 q=3.00e-04 d=0.52
oscilloscope vs notePC,,t=3.74 p=3.00e-04 q=1.10e-03 d=0.46,,t=6.57 p=0.00e+00 q=0.00e+00 d=0.88,t=-3.67 p=4.00e-04 q=1.40e-03 d=0.41,,t=-2.40 p=1.77e-02 q=4.11e-02 d=0.24,t=7.20 p=0.00e+00 q=0.00e+00 d=0.76,t=3.46 p=8.00e-04 q=2.70e-03 d=0.27,t=3.02 p=3.10e-03 q=9.10e-03 d=0.41,,t=-5.80 p=0.00e+00 q=0.00e+00 d=0.31
oscilloscope vs sunscreen,t=4.57 p=0.00e+00 q=1.00e-04 d=0.52,t=3.10 p=2.40e-03 q=7.30e-03 d=0.41,,t=6.72 p=0.00e+00 q=0.00e+00 d=0.88,,,,t=9.33 p=0.00e+00 q=0.00e+00 d=0.96,,,,t=10.58 p=0.00e+00 q=0.00e+00 d=0.42
oscilloscope vs wig,t=2.39 p=1.82e-02 q=4.22e-02 d=0.27,t=3.80 p=2.00e-04 q=9.00e-04 d=0.51,t=-5.01 p=0.00e+00 q=0.00e+00 d=0.61,t=6.75 p=0.00e+00 q=0.00e+00 d=0.88,,,,t=6.41 p=0.00e+00 q=0.00e+00 d=0.69,t=6.14 p=0.00e+00 q=0.00e+00 d=0.72,t=3.48 p=7.00e-04 q=2.50e-03 d=0.44,,
oscilloscope vs lipstick,,,,t=2.38 p=1.86e-02 q=4.29e-02 d=0.28,,,,t=9.74 p=0.00e+00 q=0.00e+00 d=1.04,t=6.38 p=0.00e+00 q=0.00e+00 d=0.52,,t=6.93 p=0.00e+00 q=0.00e+00 d=0.73,t=-10.73 p=0.00e+00 q=0.00e+00 d=1.61
oscilloscope vs bra,t=2.64 p=9.40e-03 q=2.40e-02 d=0.30,t=3.43 p=8.00e-04 q=2.90e-03 d=0.47,t=-3.11 p=2.30e-03 q=7.10e-03 d=0.38,t=8.01 p=0.00e+00 q=0.00e+00 d=1.07,t=-4.58 p=0.00e+00 q=1.00e-04 d=0.57,,,t=10.22 p=0.00e+00 q=0.00e+00 d=1.28,t=6.46 p=0.00e+00 q=0.00e+00 d=0.96,t=-3.71 p=3.00e-04 q=1.20e-03 d=0.57,t=3.34 p=1.10e-03 q=3.70e-03 d=0.38,t=-3.60 p=5.00e-04 q=1.70e-03 d=0.55
oscilloscope vs windsor,t=2.97 p=3.60e-03 q=1.05e-02 d=0.33,t=3.39 p=9.00e-04 q=3.20e-03 d=0.47,t=-4.05 p=1.00e-04 q=4.00e-04 d=0.51,t=8.00 p=0.00e+00 q=0.00e+00 d=1.03,,t=-2.99 p=3.30e-03 q=9.80e-03 d=0.29,t=-4.55 p=0.00e+00 q=1.00e-04 d=0.45,t=4.12 p=1.00e-04 q=3.00e-04 d=0.41,,t=2.76 p=6.70e-03 q=1.79e-02 d=0.29,t=-4.18 p=1.00e-04 q=3.00e-04 d=0.67,t=3.60 p=5.00e-04 q=1.70e-03 d=0.55
oscilloscope vs desk,,t=3.76 p=3.00e-04 q=1.10e-03 d=0.45,,t=6.74 p=0.00e+00 q=0.00e+00 d=0.91,t=-3.27 p=1.40e-03 q=4.50e-03 d=0.37,,,t=7.87 p=0.00e+00 q=0.00e+00 d=0.76,t=2.33 p=2.13e-02 q=4.82e-02 d=0.20,,,t=-14.36 p=0.00e+00 q=0.00e+00 d=1.45
oscilloscope vs library,t=3.79 p=2.00e-04 q=9.00e-04 d=0.41,t=4.29 p=0.00e+00 q=2.00e-04 d=0.56,,t=8.34 p=0.00e+00 q=0.00e+00 d=1.07,t=-2.68 p=8.40e-03 q=2.17e-02 d=0.30,,,t=5.17 p=0.00e+00 q=0.00e+00 d=0.58,t=6.86 p=0.00e+00 q=0.00e+00 d=0.48,,t=5.09 p=0.00e+00 q=0.00e+00 d=0.65,t=-3.94 p=1.00e-04 q=6.00e-04 d=0.38
suit vs notePC,,,t=4.37 p=0.00e+00 q=1.00e-04 d=0.31,t=-2.93 p=4.10e-03 q=1.17e-02 d=0.22,,t=3.46 p=7.00e-04 q=2.60e-03 d=0.22,t=4.03 p=1.00e-04 q=4.00e-04 d=0.34,t=8.90 p=0.00e+00 q=0.00e+00 d=0.60,,,t=-5.25 p=0.00e+00 q=0.00e+00 d=0.55,
suit vs sunscreen,t=3.21 p=1.70e-03 q=5.40e-03 d=0.15,t=-2.99 p=3.40e-03 q=9.90e-03 d=0.18,t=2.64 p=9.40e-03 q=2.41e-02 d=0.23,t=-4.38 p=0.00e+00 q=1.00e-04 d=0.25,,t=3.72 p=3.00e-04 q=1.20e-03 d=0.29,t=3.76 p=3.00e-04 q=1.00e-03 d=0.45,t=8.73 p=0.00e+00 q=0.00e+00 d=0.82,,t=-3.93 p=1.00e-04 q=6.00e-04 d=0.46,,t=6.82 p=0.00e+00 q=0.00e+00 d=0.94
suit vs wig,,,,t=-4.30 p=0.00e+00 q=2.00e-04 d=0.26,t=4.25 p=0.00e+00 q=2.00e-04 d=0.37,t=4.41 p=0.00e+00 q=1.00e-04 d=0.30,t=5.43 p=0.00e+00 q=0.00e+00 d=0.41,t=5.02 p=0.00e+00 q=0.00e+00 d=0.51,t=5.36 p=0.00e+00 q=0.00e+00 d=0.50,t=-5.23 p=0.00e+00 q=0.00e+00 d=0.44,t=-2.46 p=1.51e-02 q=3.58e-02 d=0.30,
suit vs lipstick,,t=-5.01 p=0.00e+00 q=0.00e+00 d=0.63,t=3.07 p=2.60e-03 q=8.00e-03 d=0.37,t=-9.28 p=0.00e+00 q=0.00e+00 d=0.98,t=4.32 p=0.00e+00 q=2.00e-04 d=0.58,t=3.26 p=1.40e-03 q=4.60e-03 d=0.37,t=5.34 p=0.00e+00 q=0.00e+00 d=0.49,t=8.19 p=0.00e+00 q=0.00e+00 d=0.90,t=3.59 p=5.00e-04 q=1.80e-03 d=0.38,t=-5.13 p=0.00e+00 q=0.00e+00 d=0.60,t=4.78 p=0.00e+00 q=0.00e+00 d=0.37,t=-11.90 p=0.00e+00 q=0.00e+00 d=1.63
suit vs bra,,,,,,t=2.40 p=1.79e-02 q=4.16e-02 d=0.16,t=3.14 p=2.10e-03 q=6.70e-03 d=0.33,t=13.69 p=0.00e+00 q=0.00e+00 d=1.16,t=6.04 p=0.00e+00 q=0.00e+00 d=0.70,t=-9.22 p=0.00e+00 q=0.00e+00 d=1.29,,t=-2.75 p=6.80e-03 q=1.81e-02 d=0.35
suit vs windsor,,t=-3.70 p=3.00e-04 q=1.30e-03 d=0.11,,t=-3.25 p=1.50e-03 q=4.90e-03 d=0.08,t=3.30 p=1.30e-03 q=4.20e-03 d=0.31,,t=4.85 p=0.00e+00 q=0.00e+00 d=0.14,t=6.35 p=0.00e+00 q=0.00e+00 d=0.21,t=-4.40 p=0.00e+00 q=1.00e-04 d=0.17,t=-7.62 p=0.00e+00 q=0.00e+00 d=0.57,t=-6.65 p=0.00e+00 q=0.00e+00 d=0.87,t=7.02 p=0.00e+00 q=0.00e+00 d=1.13
suit vs desk,t=-2.43 p=1.66e-02 q=3.89e-02 d=0.13,,t=3.84 p=2.00e-04 q=8.00e-04 d=0.39,t=-2.38 p=1.87e-02 q=4.32e-02 d=0.21,,t=2.53 p=1.28e-02 q=3.11e-02 d=0.20,t=5.31 p=0.00e+00 q=0.00e+00 d=0.48,t=8.88 p=0.00e+00 q=0.00e+00 d=0.61,,t=-3.86 p=2.00e-04 q=8.00e-04 d=0.42,,t=-12.30 p=0.00e+00 q=0.00e+00 d=1.31
suit vs library,,,t=3.00 p=3.30e-03 q=9.60e-03 d=0.29,,,t=3.72 p=3.00e-04 q=1.20e-03 d=0.20,t=6.01 p=0.00e+00 q=0.00e+00 d=0.47,t=5.74 p=0.00e+00 q=0.00e+00 d=0.41,t=3.69 p=3.00e-04 q=1.30e-03 d=0.34,t=-5.02 p=0.00e+00 q=0.00e+00 d=0.55,t=3.21 p=1.70e-03 q=5.40e-03 d=0.38,
notePC vs sunscreen,t=3.81 p=2.00e-04 q=9.00e-04 d=0.21,,,,,,,t=2.95 p=3.80e-03 q=1.10e-02 d=0.24,,t=-2.82 p=5.70e-03 q=1.55e-02 d=0.29,t=4.54 p=0.00e+00 q=1.00e-04 d=0.41,t=9.51 p=0.00e+00 q=0.00e+00 d=0.70
notePC vs wig,,,t=-5.42 p=0.00e+00 q=0.00e+00 d=0.47,,t=2.84 p=5.20e-03 q=1.44e-02 d=0.30,,,,t=6.26 p=0.00e+00 q=0.00e+00 d=0.61,,,
notePC vs lipstick,,t=-4.38 p=0.00e+00 q=1.00e-04 d=0.54,,t=-6.36 p=0.00e+00 q=0.00e+00 d=0.71,t=4.15 p=1.00e-04 q=3.00e-04 d=0.53,,,t=2.32 p=2.20e-02 q=4.94e-02 d=0.26,t=4.30 p=0.00e+00 q=2.00e-04 d=0.35,t=-3.70 p=3.00e-04 q=1.30e-03 d=0.46,t=8.38 p=0.00e+00 q=0.00e+00 d=0.96,t=-9.38 p=0.00e+00 q=0.00e+00 d=1.27
notePC vs bra,,,t=-3.77 p=3.00e-04 q=1.00e-03 d=0.25,,,,,t=8.42 p=0.00e+00 q=0.00e+00 d=0.57,t=7.51 p=0.00e+00 q=0.00e+00 d=0.92,t=-6.62 p=0.00e+00 q=0.00e+00 d=0.70,t=5.95 p=0.00e+00 q=0.00e+00 d=0.61,t=-2.74 p=7.10e-03 q=1.88e-02 d=0.38
notePC vs windsor,,,t=-4.14 p=1.00e-04 q=3.00e-04 d=0.38,,,,t=-2.47 p=1.51e-02 q=3.57e-02 d=0.21,t=-5.86 p=0.00e+00 q=0.00e+00 d=0.43,t=-4.17 p=1.00e-04 q=3.00e-04 d=0.37,,t=-3.89 p=2.00e-04 q=7.00e-04 d=0.31,t=4.98 p=0.00e+00 q=0.00e+00 d=0.84
notePC vs desk,,,,,,,t=2.72 p=7.40e-03 q=1.96e-02 d=0.14,,,t=-3.59 p=5.00e-04 q=1.80e-03 d=0.30,t=3.44 p=8.00e-04 q=2.80e-03 d=0.42,t=-10.48 p=0.00e+00 q=0.00e+00 d=1.17
notePC vs library,t=2.92 p=4.10e-03 q=1.18e-02 d=0.12,,,,,,t=2.70 p=7.90e-03 q=2.06e-02 d=0.15,t=-2.73 p=7.20e-03 q=1.90e-02 d=0.18,t=4.45 p=0.00e+00 q=1.00e-04 d=0.29,t=-4.06 p=1.00e-04 q=4.00e-04 d=0.36,t=8.77 p=0.00e+00 q=0.00e+00 d=0.85,
sunscreen vs wig,t=-4.91 p=0.00e+00 q=0.00e+00 d=0.24,,t=-4.42 p=0.00e+00 q=1.00e-04 d=0.38,,,,,t=-4.51 p=0.00e+00 q=1.00e-04 d=0.43,t=3.99 p=1.00e-04 q=5.00e-04 d=0.52,,,t=-4.94 p=0.00e+00 q=0.00e+00 d=0.60
sunscreen vs lipstick,t=-3.68 p=4.00e-04 q=1.40e-03 d=0.39,t=-4.26 p=0.00e+00 q=2.00e-04 d=0.49,,t=-8.82 p=0.00e+00 q=0.00e+00 d=0.70,t=3.78 p=2.00e-04 q=1.00e-03 d=0.39,,,,t=2.41 p=1.73e-02 q=4.03e-02 d=0.31,t=-2.67 p=8.60e-03 q=2.21e-02 d=0.24,t=4.32 p=0.00e+00 q=2.00e-04 d=0.55,t=-13.56 p=0.00e+00 q=0.00e+00 d=1.87
sunscreen vs bra,t=-4.47 p=0.00e+00 q=1.00e-04 d=0.19,,,t=4.21 p=0.00e+00 q=2.00e-04 d=0.19,t=-2.84 p=5.20e-03 q=1.45e-02 d=0.28,,,t=4.78 p=0.00e+00 q=0.00e+00 d=0.32,t=7.45 p=0.00e+00 q=0.00e+00 d=0.82,t=-4.29 p=0.00e+00 q=2.00e-04 d=0.42,t=2.38 p=1.89e-02 q=4.35e-02 d=0.26,t=-5.36 p=0.00e+00 q=0.00e+00 d=0.78
sunscreen vs windsor,t=-3.45 p=8.00e-04 q=2.70e-03 d=0.16,,t=-3.52 p=6.00e-04 q=2.20e-03 d=0.30,t=3.14 p=2.10e-03 q=6.60e-03 d=0.17,,t=-2.78 p=6.20e-03 q=1.69e-02 d=0.22,t=-2.65 p=9.00e-03 q=2.31e-02 d=0.33,t=-6.38 p=0.00e+00 q=0.00e+00 d=0.67,t=-2.44 p=1.61e-02 q=3.78e-02 d=0.37,,t=-5.77 p=0.00e+00 q=0.00e+00 d=0.75,
sunscreen vs desk,t=-4.80 p=0.00e+00 q=0.00e+00 d=0.30,,,,,,,,,,,t=-14.05 p=0.00e+00 q=0.00e+00 d=1.71
sunscreen vs library,,t=2.44 p=1.63e-02 q=3.82e-02 d=0.15,,t=2.45 p=1.56e-02 q=3.68e-02 d=0.18,,,,t=-4.49 p=0.00e+00 q=1.00e-04 d=0.41,,,t=4.87 p=0.00e+00 q=0.00e+00 d=0.52,t=-5.76 p=0.00e+00 q=0.00e+00 d=0.70
wig vs lipstick,,t=-5.22 p=0.00e+00 q=0.00e+00 d=0.59,t=5.01 p=0.00e+00 q=0.00e+00 d=0.53,t=-8.73 p=0.00e+00 q=0.00e+00 d=0.70,t=2.62 p=9.90e-03 q=2.51e-02 d=0.30,,,t=4.77 p=0.00e+00 q=0.00e+00 d=0.48,,t=-3.56 p=5.00e-04 q=1.90e-03 d=0.41,t=4.70 p=0.00e+00 q=0.00e+00 d=0.47,t=-10.19 p=0.00e+00 q=0.00e+00 d=0.89
wig vs bra,,,t=3.26 p=1.40e-03 q=4.60e-03 d=0.22,t=3.96 p=1.00e-04 q=5.00e-04 d=0.20,t=-5.03 p=0.00e+00 q=0.00e+00 d=0.47,,,t=7.96 p=0.00e+00 q=0.00e+00 d=0.80,t=4.61 p=0.00e+00 q=1.00e-04 d=0.39,t=-9.24 p=0.00e+00 q=0.00e+00 d=1.05,t=3.10 p=2.40e-03 q=7.40e-03 d=0.36,t=-5.63 p=0.00e+00 q=0.00e+00 d=0.33
wig vs windsor,,,,t=2.96 p=3.70e-03 q=1.07e-02 d=0.17,,t=-3.52 p=6.00e-04 q=2.20e-03 d=0.24,t=-3.33 p=1.10e-03 q=3.80e-03 d=0.29,t=-2.82 p=5.60e-03 q=1.53e-02 d=0.31,t=-6.67 p=0.00e+00 q=0.00e+00 d=0.68,,,t=6.23 p=0.00e+00 q=0.00e+00 d=0.70
wig vs desk,,,t=5.29 p=0.00e+00 q=0.00e+00 d=0.55,,t=-2.43 p=1.67e-02 q=3.91e-02 d=0.26,,,,t=-5.93 p=0.00e+00 q=0.00e+00 d=0.66,,,t=-5.60 p=0.00e+00 q=0.00e+00 d=0.91
